text,intensity,category,polarity,emotion
"I constantly check my blood pressure and heart rate. Every small pain makes me think something is seriously wrong with me.",8,Health Anxiety,-1.0,fear
"My appetite has disappeared completely. The thought of food makes me anxious, and I've been skipping meals frequently.",9,Eating Disorder,-1.0,fear
"These panic attacks keep getting worse. My heart races, and I can't catch my breath when I'm in crowded places.",7,Anxiety,-1.0,fear
"I haven't left my bed in days. Nothing seems worth doing anymore, and I feel completely empty inside.",9,Depression,-1.0,sadness
"I've been tossing and turning all night. My mind won't shut off, and I'm exhausted but can't sleep.",8,Insomnia,-1.0,sadness
"The deadlines at work are overwhelming me. I'm carrying so much responsibility, and it's affecting my health.",7,Stress,-1.0,anger
"Every morning feels like a new opportunity. I'm grateful for the small wins and progress I'm making.",8,Positive Outlook,1.0,joy
"I feel stuck in my current job. Should I switch careers? I'm passionate about something else but fear change.",6,Career Confusion,-1.0,joy
"I'm trying to eat healthy, but the guilt after meals is overwhelming. I spend hours thinking about calories.",8,Eating Disorder,-1.0,joy
"Each day brings new possibilities. I'm excited about my future and the positive changes I'm making.",9,Positive Outlook,1.0,joy
"I'm worried about these headaches. What if it's something serious? I keep searching my symptoms online.",7,Health Anxiety,-1.0,fear
"Everything feels heavy lately. I've lost interest in activities I used to enjoy, and nothing excites me.",8,Depression,-1.0,sadness
"The work pressure is getting to me. I can't focus on tasks, and my mind is always racing with worry.",7,Anxiety,-1.0,fear
"Sleep seems impossible these days. I lie awake counting hours, dreading another restless night.",9,Insomnia,-1.0,fear
"Multiple deadlines are approaching. I feel my chest tightening when I think about all the pending work.",8,Stress,-1.0,fear
"Should I pursue further education? My current career path feels unclear, and I'm unsure about next steps.",6,Career Confusion,-1.0,fear
"I've been feeling more energetic lately. Each day I find something to smile about and be thankful for.",7,Positive Outlook,1.0,joy
"The mirror has become my enemy. I spend hours checking my body and feeling disappointed with myself.",9,Eating Disorder,-1.0,sadness
"Every small symptom terrifies me. I'm constantly worried about my health and my family's well-being.",8,Health Anxiety,-1.0,fear
"I can't remember the last time I felt truly happy. Everything seems pointless and gray.",9,Depression,-1.0,joy
"Social situations make me freeze up. I'm always worried about what others might think of me.",7,Anxiety,-1.0,fear
